,date,exon_price,oil_price
1,28/03/2014,97.70,106.64
2,31/03/2014,97.68,105.95
3,1/04/2014,97.73,105.70
4,2/04/2014,97.95,103.37
5,3/04/2014,97.93,104.88
6,4/04/2014,97.36,106.41
7,7/04/2014,96.78,104.89
8,8/04/2014,97.45,105.83
9,9/04/2014,97.33,107.39
10,10/04/2014,96.78,107.10
11,11/04/2014,96.72,107.34
12,14/04/2014,97.86,107.68
13,15/04/2014,98.68,109.10
14,16/04/2014,99.94,109.71
15,17/04/2014,100.42,109.79
16,21/04/2014,100.93,109.69
17,22/04/2014,100.37,108.54
18,23/04/2014,100.50,108.48
19,24/04/2014,100.01,109.79
20,25/04/2014,100.41,109.53
21,28/04/2014,101.17,109.12
22,29/04/2014,101.45,109.89
23,30/04/2014,102.41,108.63
24,1/05/2014,101.41,108.63
25,2/05/2014,102.01,109.48
26,5/05/2014,102.91,109.48
27,6/05/2014,102.67,108.30
28,7/05/2014,103.11,108.17
29,8/05/2014,102.32,108.19
30,9/05/2014,101.95,108.26
31,12/05/2014,102.23,108.37
32,13/05/2014,102.36,108.78
33,14/05/2014,102.29,109.87
34,15/05/2014,100.78,109.74
35,16/05/2014,100.74,110.90
36,19/05/2014,100.87,110.84
37,20/05/2014,100.67,110.35
38,21/05/2014,102.03,111.32
39,22/05/2014,101.50,110.89
40,23/05/2014,101.32,110.19
41,27/05/2014,101.36,109.81
42,28/05/2014,101.06,109.09
43,29/05/2014,101.27,109.98
44,30/05/2014,100.53,109.21
45,2/06/2014,99.94,109.34
46,3/06/2014,100.39,108.87
47,4/06/2014,100.04,109.07
48,5/06/2014,100.55,108.43
49,6/06/2014,101.60,109.21
50,9/06/2014,101.52,110.55
51,10/06/2014,101.46,109.18
52,11/06/2014,101.95,109.83
53,12/06/2014,101.66,112.18
54,13/06/2014,102.65,113.15
55,16/06/2014,102.92,113.42
56,17/06/2014,102.42,114.02
57,18/06/2014,102.73,114.25
58,19/06/2014,102.63,115.19
59,20/06/2014,103.83,114.55
60,23/06/2014,104.38,113.62
61,24/06/2014,102.73,113.74
62,25/06/2014,102.14,112.84
63,26/06/2014,102.03,112.61
64,27/06/2014,101.21,112.62
65,30/06/2014,100.68,111.03
66,1/07/2014,101.36,110.84
67,2/07/2014,101.57,110.18
68,3/07/2014,102.59,108.98
69,7/07/2014,102.65,108.70
70,8/07/2014,102.83,107.65
71,9/07/2014,103.55,106.84
72,10/07/2014,102.57,106.20
73,11/07/2014,101.74,105.77
74,14/07/2014,102.68,104.73
75,15/07/2014,102.39,104.73
76,16/07/2014,103.77,105.41
77,17/07/2014,102.31,106.04
78,18/07/2014,102.73,106.03
79,21/07/2014,103.08,105.71
80,22/07/2014,103.54,106.48
81,23/07/2014,104.25,106.85
82,24/07/2014,104.28,105.78
83,25/07/2014,103.18,106.89
84,28/07/2014,104.37,106.70
85,29/07/2014,103.55,106.98
86,30/07/2014,103.25,106.47
87,31/07/2014,98.94,104.94
88,1/08/2014,98.80,103.45
89,4/08/2014,100.13,103.63
90,5/08/2014,98.20,102.82
91,6/08/2014,98.98,104.17
92,7/08/2014,98.27,104.02
93,8/08/2014,99.74,103.36
94,11/08/2014,98.73,103.47
95,12/08/2014,98.49,101.68
96,13/08/2014,99.09,102.27
97,14/08/2014,99.09,101.15
98,15/08/2014,99.03,101.13
99,18/08/2014,99.52,99.37
100,19/08/2014,99.49,99.74
101,20/08/2014,99.70,99.92
102,21/08/2014,99.28,100.28
103,22/08/2014,98.50,100.09
104,25/08/2014,98.75,100.49
105,26/08/2014,99.64,100.50
106,27/08/2014,99.53,100.40
107,28/08/2014,99.57,100.71
108,29/08/2014,99.46,101.12
109,2/09/2014,98.49,100.21
110,3/09/2014,99.11,100.88
111,4/09/2014,98.36,101.21
112,5/09/2014,99.26,99.51
113,8/09/2014,97.77,99.53
114,9/09/2014,97.39,98.08
115,10/09/2014,96.81,96.26
116,11/09/2014,97.03,96.42
117,12/09/2014,95.78,96.31
118,15/09/2014,96.29,96.43
119,16/09/2014,97.43,97.39
120,17/09/2014,97.08,97.70
121,18/09/2014,96.61,96.82
122,19/09/2014,97.12,96.75
123,22/09/2014,96.54,95.37
124,23/09/2014,96.03,94.87
125,24/09/2014,95.82,94.53
126,25/09/2014,94.25,95.20
127,26/09/2014,95.43,95.08
128,29/09/2014,94.43,95.70
129,30/09/2014,94.05,94.67
130,1/10/2014,92.86,94.57
131,2/10/2014,93.30,91.29
132,3/10/2014,93.92,90.80
133,6/10/2014,94.52,90.65
134,7/10/2014,93.37,90.90
135,8/10/2014,94.61,90.25
136,9/10/2014,91.82,90.47
137,10/10/2014,91.60,88.66
138,13/10/2014,90.84,87.82
139,14/10/2014,90.55,86.36
140,15/10/2014,90.22,84.02
141,16/10/2014,90.60,84.02
142,17/10/2014,91.21,85.27
143,20/10/2014,91.77,84.42
144,21/10/2014,93.65,85.17
145,22/10/2014,93.13,86.38
146,23/10/2014,94.11,85.94
147,24/10/2014,94.49,86.00
148,27/10/2014,93.71,85.64
149,28/10/2014,95.10,85.57
150,29/10/2014,94.59,86.91
151,30/10/2014,94.45,85.50
152,31/10/2014,96.71,84.17
153,3/11/2014,95.26,84.90
154,4/11/2014,94.52,82.12
155,5/11/2014,95.07,82.88
156,6/11/2014,96.26,82.08
157,7/11/2014,96.59,83.20
158,10/11/2014,96.28,82.90
159,11/11/2014,96.41,80.94
160,12/11/2014,95.38,80.42
